epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4968,0.27705,1.9711,1.02961,0.47944,0.76879,0.56543,0.56543,0.15226,1.06917,0.39991,0.0701449,0.00331723,0.00331723
2,140.773,0.1944,1.1098,0.92271,0.38881,0.6335,0.52877,0.49685,0.26505,1.72884,0.61231,0.0400791,0.00658472,0.00658472
3,205.943,0.22492,1.05907,0.93465,0.3245,0.68301,0.4831,0.37757,0.48693,1.50719,1.12881,0.00994725,0.00978622,0.00978622
4,270.928,0.20546,1.00783,0.92583,0.3868,0.66563,0.52099,0.47577,0.23768,1.18963,0.4868,0.009703,0.009703,0.009703
5,342.055,0.17126,0.94627,0.90868,0.52799,0.77872,0.62893,0.6279,0.20187,0.90023,0.44988,0.009604,0.009604,0.009604
6,418.531,0.15038,0.89113,0.90529,0.56704,0.78379,0.6885,0.68738,0.23142,0.8201,0.4811,0.009505,0.009505,0.009505
7,482.062,0.13534,0.86969,0.89638,0.41102,0.71203,0.61799,0.60456,0.18699,1.18238,0.45496,0.009406,0.009406,0.009406
8,545.847,0.12463,0.84467,0.89724,0.49594,0.732,0.66747,0.65091,0.19414,1.07655,0.45043,0.009307,0.009307,0.009307
9,609.81,0.11153,0.81209,0.89006,0.69791,0.7415,0.76672,0.76414,0.1641,0.69784,0.43558,0.009208,0.009208,0.009208
10,671.669,0.10958,0.79088,0.8894,0.7427,0.7033,0.76226,0.75024,0.16609,0.69304,0.43988,0.009109,0.009109,0.009109
11,756.646,0.10597,0.78729,0.88739,0.60752,0.83018,0.75166,0.74499,0.16487,0.74806,0.43055,0.00901,0.00901,0.00901
12,820.549,0.09995,0.78013,0.88831,0.67543,0.77525,0.77414,0.77321,0.14676,0.70184,0.40454,0.008911,0.008911,0.008911
13,884.807,0.09453,0.75476,0.8813,0.68056,0.74639,0.78033,0.7788,0.16152,0.70559,0.43367,0.008812,0.008812,0.008812
14,948.706,0.09158,0.75012,0.8832,0.69137,0.78557,0.78994,0.78648,0.13208,0.67871,0.39695,0.008713,0.008713,0.008713
15,1008.77,0.08953,0.71964,0.88431,0.69861,0.82673,0.81693,0.81549,0.15359,0.62921,0.42176,0.008614,0.008614,0.008614
16,1100.71,0.08432,0.70708,0.88337,0.66486,0.83236,0.81309,0.81301,0.1273,0.6389,0.38468,0.008515,0.008515,0.008515
17,1164.03,0.08242,0.72004,0.88156,0.74246,0.80144,0.84008,0.84008,0.06878,0.60807,0.32364,0.008416,0.008416,0.008416
18,1227.79,0.07879,0.68781,0.88136,0.71009,0.78322,0.81128,0.81043,0.12174,0.65684,0.38961,0.008317,0.008317,0.008317
19,1292.21,0.08053,0.68837,0.88549,0.7338,0.82509,0.83601,0.82342,0.14018,0.63758,0.38398,0.008218,0.008218,0.008218
20,1356.23,0.07801,0.68516,0.88031,0.78087,0.83555,0.86812,0.86738,0.14105,0.50276,0.39268,0.008119,0.008119,0.008119
21,1450.87,0.07466,0.65673,0.88007,0.70217,0.76222,0.81391,0.81269,0.10264,0.67241,0.35726,0.00802,0.00802,0.00802
22,1515.4,0.07359,0.64272,0.88383,0.77477,0.81166,0.85605,0.85605,0.12729,0.53035,0.37866,0.007921,0.007921,0.007921
23,1579.31,0.07113,0.64814,0.8824,0.76085,0.85171,0.87701,0.875,0.12241,0.51573,0.37438,0.007822,0.007822,0.007822
