epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,31826.8,0.08055,0.59866,0.08201,0.70279,0.58634,0.51477,0.51445,0.01082,0.42463,0.02354,0.005842,0.005842,0.005842
44,32591.6,0.08566,0.59232,0.09028,0.70551,0.58751,0.51646,0.51595,0.01122,0.42461,0.0238,0.005743,0.005743,0.005743
45,33358.6,0.08094,0.59386,0.08414,0.70824,0.58759,0.5163,0.51579,0.01365,0.42643,0.02674,0.005644,0.005644,0.005644
46,34119.2,0.07731,0.59103,0.07961,0.70222,0.58568,0.51629,0.51579,0.01344,0.42595,0.02662,0.005545,0.005545,0.005545
47,34866.5,0.07014,0.5909,0.07503,0.70157,0.58478,0.51439,0.51388,0.0129,0.42544,0.02598,0.005446,0.005446,0.005446
48,35513,0.07744,0.57997,0.08055,0.7064,0.58576,0.51459,0.51407,0.01229,0.42459,0.02504,0.005347,0.005347,0.005347
49,36231.6,0.07201,0.59329,0.07417,0.70467,0.58509,0.51499,0.51464,0.01324,0.42511,0.02642,0.005248,0.005248,0.005248
50,36992.6,0.06602,0.57858,0.06931,0.70287,0.58386,0.51417,0.51378,0.01309,0.42478,0.0261,0.005149,0.005149,0.005149
51,37752.6,0.06818,0.57861,0.07119,0.70274,0.58141,0.51399,0.5134,0.01252,0.42407,0.02519,0.00505,0.00505,0.00505
52,38518.4,0.06273,0.57948,0.06704,0.69969,0.58186,0.51378,0.5132,0.01161,0.42325,0.02378,0.004951,0.004951,0.004951
53,39282.7,0.06313,0.58254,0.06613,0.70124,0.58113,0.51398,0.51341,0.01123,0.42287,0.02351,0.004852,0.004852,0.004852
54,40046.4,0.061,0.58061,0.0632,0.70187,0.58072,0.51268,0.51209,0.01091,0.42261,0.02321,0.004753,0.004753,0.004753
55,40803.1,0.05613,0.57587,0.0592,0.69631,0.58169,0.51336,0.51279,0.01016,0.42193,0.02173,0.004654,0.004654,0.004654
56,41450.6,0.059,0.57235,0.06269,0.70113,0.58179,0.51365,0.51306,0.01058,0.42159,0.02202,0.004555,0.004555,0.004555
57,42165.8,0.06161,0.57675,0.06382,0.7024,0.58178,0.51367,0.51311,0.01034,0.42098,0.02165,0.004456,0.004456,0.004456
58,42930.1,0.05054,0.57267,0.05472,0.70575,0.58458,0.51792,0.5174,0.01019,0.42022,0.02134,0.004357,0.004357,0.004357
59,43698,0.05276,0.5605,0.05587,0.70445,0.58446,0.51689,0.51653,0.01073,0.42001,0.02186,0.004258,0.004258,0.004258
60,44461.7,0.04984,0.57035,0.05336,0.7101,0.5856,0.51873,0.5184,0.0108,0.41958,0.02189,0.004159,0.004159,0.004159
61,45224.1,0.05511,0.56922,0.05691,0.70785,0.58496,0.51731,0.517,0.00923,0.41805,0.02006,0.00406,0.00406,0.00406
62,45988,0.05127,0.56762,0.05698,0.70356,0.58581,0.52007,0.5196,0.00806,0.41692,0.01853,0.003961,0.003961,0.003961
63,46704.7,0.04346,0.55667,0.04882,0.70389,0.58538,0.51824,0.51775,0.0067,0.41528,0.01703,0.003862,0.003862,0.003862
64,47357.1,0.03919,0.54682,0.04451,0.69905,0.58516,0.51757,0.51729,0.00591,0.41507,0.01625,0.003763,0.003763,0.003763
