epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,3308.63,0.00892,0.47482,0.01426,0.73427,0.5454,0.46548,0.4631,0.00493,0.48757,0.01606,0.000660045,0.000660045,0.000660045
43,3389.16,0.00888,0.4962,0.01356,0.66083,0.62281,0.57065,0.56872,0.00442,0.37851,0.01238,0.000649046,0.000649046,0.000649046
44,3464.53,0.00833,0.47743,0.01156,nan,0.78479,0.55921,0.55468,nan,nan,nan,0.000638047,0.000638047,0.000638047
45,3539.37,0.00961,0.48837,0.01508,0.65785,0.62644,0.5377,0.53698,0.00406,0.43905,0.01096,0.000627048,0.000627048,0.000627048
46,3614.52,0.00898,0.50358,0.0141,0.62442,0.46239,0.44317,0.42957,0.00289,0.4697,0.00913,0.000616049,0.000616049,0.000616049
47,3688.15,0.00939,0.48043,0.0148,0.59774,0.55096,0.54711,0.54462,0.0106,0.72437,0.03072,0.000605051,0.000605051,0.000605051
48,3762.96,0.00754,0.47317,0.01088,0.61259,0.55486,0.51921,0.51597,0.00287,0.38865,0.00937,0.000594052,0.000594052,0.000594052
49,3837.65,0.00782,0.47559,0.01108,0.56374,0.56471,0.50604,0.50541,0.00405,0.44583,0.01332,0.000583053,0.000583053,0.000583053
50,3923.82,0.00718,0.49345,0.01003,0.69622,0.61332,0.53978,0.53736,0.00666,0.42122,0.02117,0.000572054,0.000572054,0.000572054
51,4021.55,0.00712,0.45141,0.0098,0.63714,0.55663,0.50478,0.50345,0.0043,0.3983,0.01438,0.000561055,0.000561055,0.000561055
52,4096,0.00698,0.4776,0.00989,0.66526,0.63192,0.52892,0.52634,0.00421,0.4267,0.01256,0.000550056,0.000550056,0.000550056
53,4170.12,0.0076,0.47514,0.01221,0.63653,0.59647,0.54088,0.53935,0.00201,0.40805,0.00592,0.000539057,0.000539057,0.000539057
54,4244.59,0.00799,0.46852,0.01177,0.66156,0.63369,0.57373,0.56875,0.00299,0.42133,0.00946,0.000528058,0.000528058,0.000528058
55,4320,0.00758,0.45469,0.01186,0.63256,0.64471,0.56307,0.56067,0.00374,0.42422,0.01194,0.000517059,0.000517059,0.000517059
56,4394.36,0.00842,0.45801,0.0116,0.63387,0.61058,0.5386,0.53763,0.00519,0.41163,0.01614,0.00050606,0.00050606,0.00050606
57,4468.52,0.00854,0.43677,0.0119,0.69621,0.65374,0.5921,0.59063,0.00552,0.39033,0.01772,0.000495062,0.000495062,0.000495062
58,4538.27,0.00791,0.48554,0.01154,0.74565,0.62463,0.56209,0.55752,0.00448,0.411,0.01331,0.000484063,0.000484063,0.000484063
59,4637.61,0.00688,0.41888,0.0099,0.65027,0.58167,0.50835,0.49925,0.00212,0.4433,0.00677,0.000473064,0.000473064,0.000473064
60,4712.98,0.00736,0.45842,0.01082,0.60173,0.60087,0.52683,0.52077,0.0024,0.45055,0.00744,0.000462065,0.000462065,0.000462065
61,4786.74,0.00676,0.41542,0.01018,0.70301,0.64986,0.57545,0.57065,0.00188,0.38507,0.00575,0.000451066,0.000451066,0.000451066
62,4861.02,0.00668,0.43746,0.00966,0.66995,0.62674,0.55767,0.55502,0.00162,0.41271,0.00515,0.000440067,0.000440067,0.000440067
63,4936.53,0.00686,0.43912,0.00995,0.69244,0.59728,0.52894,0.52498,0.00377,0.46607,0.01131,0.000429068,0.000429068,0.000429068
64,5011.48,0.00616,0.44228,0.0089,0.67971,0.59409,0.52394,0.52109,0.00474,0.41092,0.01618,0.000418069,0.000418069,0.000418069
65,5085.82,0.00721,0.4322,0.01141,0.67951,0.63259,0.54108,0.53777,0.00565,0.40951,0.01899,0.00040707,0.00040707,0.00040707
66,5158.56,0.00678,0.40078,0.00936,0.63309,0.58664,0.53019,0.52863,0.00462,0.43046,0.01512,0.000396071,0.000396071,0.000396071
67,5256.58,0.00651,0.43658,0.00953,0.64228,0.59709,0.52189,0.51238,0.00131,0.42373,0.00432,0.000385073,0.000385073,0.000385073
68,5406.81,0.0064,0.42264,0.00911,0.68097,0.64046,0.55106,0.54839,0.001,0.41275,0.00332,0.000374074,0.000374074,0.000374074
69,5481.65,0.00609,0.43505,0.00889,0.67101,0.66944,0.57601,0.57075,0.00317,0.40066,0.01042,0.000363075,0.000363075,0.000363075
70,5557.58,0.00563,0.42,0.00851,0.72051,0.62829,0.57125,0.56636,0.00339,0.38039,0.01143,0.000352076,0.000352076,0.000352076
71,5631.49,0.00641,0.44001,0.00988,0.73644,0.66069,0.59998,0.59648,0.00084,0.40189,0.00282,0.000341077,0.000341077,0.000341077
72,5705.4,0.00591,0.40708,0.00886,0.71286,0.65395,0.58105,0.57938,0.00123,0.39674,0.00405,0.000330078,0.000330078,0.000330078
73,5779.12,0.0064,0.44488,0.00943,0.72328,0.6353,0.5826,0.57764,0.00166,0.40839,0.00518,0.000319079,0.000319079,0.000319079
74,5876.9,0.00601,0.43806,0.00902,0.71433,0.65961,0.57841,0.56974,0.00206,0.39931,0.00677,0.00030808,0.00030808,0.00030808
75,5950.66,0.00596,0.42159,0.00858,0.69184,0.63167,0.57037,0.56489,0.00195,0.39179,0.00602,0.000297081,0.000297081,0.000297081
76,6025.33,0.00553,0.42293,0.00821,0.70204,0.66584,0.59547,0.58854,0.00269,0.39851,0.00856,0.000286083,0.000286083,0.000286083
77,6100.01,0.00586,0.42844,0.00939,0.73969,0.67803,0.61349,0.60182,0.00231,0.36832,0.007,0.000275084,0.000275084,0.000275084
78,6174.76,0.00624,0.41491,0.0109,0.72281,0.66605,0.59526,0.58929,0.00325,0.42551,0.01024,0.000264085,0.000264085,0.000264085
79,6249.72,0.006,0.37704,0.00904,0.68976,0.60217,0.53235,0.52747,0.00336,0.42757,0.01075,0.000253086,0.000253086,0.000253086
80,6323.83,0.00659,0.38252,0.01009,0.72526,0.63012,0.56642,0.55689,0.0028,0.39996,0.00947,0.000242087,0.000242087,0.000242087
81,6397.61,0.00576,0.39688,0.0078,0.77212,0.6397,0.55756,0.55067,0.00288,0.43093,0.00915,0.000231088,0.000231088,0.000231088
