epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,6872.5,0.06336,0.54112,0.066,0.75053,0.653,0.60509,0.60435,0.01194,0.43329,0.02767,0.005842,0.005842,0.005842
44,7031.58,0.06224,0.52229,0.0649,0.7681,0.6669,0.61938,0.61904,0.01534,0.41824,0.0342,0.005743,0.005743,0.005743
45,7189.9,0.06387,0.5024,0.06725,0.76884,0.6426,0.60709,0.60673,0.00808,0.39434,0.02263,0.005644,0.005644,0.005644
46,7348.51,0.05624,0.5321,0.05903,0.75766,0.6483,0.61314,0.61261,0.01313,0.42171,0.0378,0.005545,0.005545,0.005545
47,7507.19,0.06481,0.51175,0.06779,0.75422,0.64876,0.60908,0.60884,0.01478,0.4384,0.03647,0.005446,0.005446,0.005446
48,7665.94,0.05786,0.51387,0.06039,0.77891,0.66761,0.62238,0.62222,0.01617,0.40872,0.03352,0.005347,0.005347,0.005347
49,7825.28,0.05468,0.50039,0.05613,0.79378,0.67736,0.64131,0.64105,0.01158,0.40569,0.02932,0.005248,0.005248,0.005248
50,7983.61,0.05202,0.50322,0.0545,0.77283,0.65898,0.62076,0.62026,0.01445,0.42673,0.03314,0.005149,0.005149,0.005149
51,8142.65,0.05727,0.50374,0.05913,0.78647,0.67192,0.62553,0.6252,0.01466,0.42619,0.03423,0.00505,0.00505,0.00505
52,8301.02,0.05476,0.50421,0.05587,0.77924,0.65695,0.61816,0.61788,0.01206,0.42925,0.02956,0.004951,0.004951,0.004951
53,8459.43,0.05488,0.48668,0.05397,0.78583,0.67835,0.62027,0.62002,0.0162,0.43124,0.0363,0.004852,0.004852,0.004852
54,8617.78,0.05361,0.47042,0.05375,0.7541,0.68094,0.63309,0.6329,0.01192,0.43506,0.03238,0.004753,0.004753,0.004753
55,8776.32,0.04896,0.46573,0.05012,0.76183,0.69364,0.63665,0.63644,0.01289,0.42708,0.02772,0.004654,0.004654,0.004654
56,8934.18,0.04675,0.49302,0.04953,0.75767,0.66489,0.61817,0.6179,0.01228,0.44258,0.02772,0.004555,0.004555,0.004555
57,9092.86,0.04879,0.48128,0.04816,0.76174,0.6726,0.63045,0.63015,0.01012,0.42363,0.02644,0.004456,0.004456,0.004456
58,9251.08,0.04421,0.45322,0.04577,0.77443,0.67462,0.63555,0.63527,0.01041,0.43736,0.02677,0.004357,0.004357,0.004357
59,9409.75,0.04352,0.46704,0.04429,0.76033,0.67259,0.63489,0.63455,0.00842,0.44095,0.02488,0.004258,0.004258,0.004258
60,9568.58,0.04371,0.47105,0.04499,0.75069,0.67589,0.62905,0.62877,0.01083,0.43445,0.02715,0.004159,0.004159,0.004159
61,9726.97,0.04155,0.45772,0.04261,0.75573,0.68222,0.62945,0.62919,0.00791,0.42759,0.02133,0.00406,0.00406,0.00406
62,9885.84,0.04289,0.45439,0.04282,0.76159,0.67066,0.62476,0.62453,0.00864,0.43612,0.02222,0.003961,0.003961,0.003961
63,10044.4,0.04104,0.45046,0.04393,0.76439,0.66064,0.61524,0.61487,0.00994,0.45396,0.02602,0.003862,0.003862,0.003862
64,10203.2,0.03891,0.44234,0.04109,0.76804,0.67511,0.62983,0.62969,0.00914,0.44809,0.02441,0.003763,0.003763,0.003763
65,10362,0.0393,0.43925,0.03944,0.76099,0.65487,0.61486,0.61463,0.00828,0.4435,0.02243,0.003664,0.003664,0.003664
66,10520.9,0.03571,0.43864,0.03571,0.76274,0.65995,0.61926,0.61907,0.00838,0.45309,0.02304,0.003565,0.003565,0.003565
67,10679.9,0.03592,0.43621,0.03547,0.77789,0.66867,0.62515,0.62492,0.00725,0.45533,0.02029,0.003466,0.003466,0.003466
68,10837.7,0.03428,0.43873,0.03546,0.76477,0.65938,0.61361,0.61334,0.00737,0.46024,0.02078,0.003367,0.003367,0.003367
69,10996.4,0.03063,0.42747,0.03167,0.77131,0.64764,0.60209,0.60187,0.00643,0.46675,0.01888,0.003268,0.003268,0.003268
70,11154.6,0.03186,0.43066,0.03242,0.77894,0.65457,0.60856,0.60831,0.00682,0.47187,0.01917,0.003169,0.003169,0.003169
71,11314.6,0.02937,0.41031,0.03058,0.77336,0.64939,0.60277,0.60254,0.00726,0.47236,0.02112,0.00307,0.00307,0.00307
72,11478.4,0.02894,0.41293,0.0311,0.77937,0.65312,0.60671,0.60645,0.00746,0.47485,0.02177,0.002971,0.002971,0.002971
73,11638.3,0.02715,0.39301,0.0293,0.77136,0.64794,0.60443,0.60418,0.00632,0.46897,0.0185,0.002872,0.002872,0.002872
74,11796.5,0.02663,0.39026,0.02763,0.771,0.64641,0.6011,0.60085,0.00644,0.47721,0.01868,0.002773,0.002773,0.002773
75,11955.6,0.02637,0.38424,0.0275,0.77212,0.65698,0.61285,0.61267,0.00691,0.48018,0.01948,0.002674,0.002674,0.002674
76,12114.1,0.02191,0.38461,0.02337,0.79926,0.64352,0.60641,0.60624,0.00745,0.4876,0.02033,0.002575,0.002575,0.002575
77,12272.1,0.02292,0.35715,0.02493,0.80719,0.65782,0.61675,0.61659,0.0075,0.49225,0.02049,0.002476,0.002476,0.002476
