epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408.35,0.1701,1.52528,0.93949,0.46481,0.72442,0.63033,0.63029,0.16515,1.17277,0.44672,0.00333184,0.00333184,0.00333184
2,811.581,0.13285,1.02836,0.89161,0.50873,0.71942,0.64682,0.6466,0.15608,0.92806,0.44129,0.00659919,0.00659919,0.00659919
3,1213.77,0.12721,0.99696,0.88975,0.57644,0.71015,0.66372,0.66188,0.13745,0.83126,0.40226,0.00980053,0.00980053,0.00980053
4,1614.68,0.1016,0.9741,0.88212,0.63594,0.70237,0.70229,0.70196,0.1261,0.79934,0.41773,0.009703,0.009703,0.009703
5,2016.14,0.08199,0.93629,0.87747,0.65317,0.71252,0.72434,0.72371,0.12232,0.75521,0.4152,0.009604,0.009604,0.009604
6,2417.97,0.07408,0.92163,0.87397,0.66886,0.70351,0.72961,0.72956,0.11055,0.74087,0.402,0.009505,0.009505,0.009505
7,2821.98,0.0703,0.90416,0.87393,0.67234,0.71002,0.73726,0.73724,0.10603,0.71675,0.39672,0.009406,0.009406,0.009406
8,3222.58,0.06759,0.89874,0.873,0.68598,0.7063,0.74227,0.74225,0.10876,0.70731,0.40085,0.009307,0.009307,0.009307
9,3625.3,inf,0.89045,0.87223,0.67581,0.72027,0.7442,0.74418,0.10788,0.69633,0.39933,0.009208,0.009208,0.009208
10,4026.7,0.0637,0.88488,0.87151,0.67924,0.72421,0.74798,0.7479,0.10389,0.68942,0.39372,0.009109,0.009109,0.009109
11,4427.96,0.06293,0.87785,0.87118,0.68459,0.72173,0.74969,0.74962,0.10059,0.68926,0.39134,0.00901,0.00901,0.00901
12,4829.04,0.06184,0.87534,0.87066,0.68714,0.72227,0.75098,0.75097,0.09915,0.68451,0.391,0.008911,0.008911,0.008911
13,5228.47,inf,0.87205,0.87133,0.68494,0.72763,0.75386,0.75385,0.09964,0.68257,0.39117,0.008812,0.008812,0.008812
14,5878.67,0.06065,0.86311,0.87216,0.68128,0.73371,0.75492,0.75487,0.09801,0.67973,0.38909,0.008713,0.008713,0.008713
15,6670.97,0.06021,0.86446,0.87,0.68325,0.73316,0.75732,0.75731,0.0961,0.67057,0.38393,0.008614,0.008614,0.008614
16,7422.79,inf,0.86121,0.8703,0.68571,0.73229,0.76036,0.76031,0.09404,0.6592,0.38115,0.008515,0.008515,0.008515
17,8183.26,inf,0.85892,0.86962,0.68958,0.73143,0.76256,0.76253,0.09345,0.6552,0.38018,0.008416,0.008416,0.008416
18,9285.2,0.05804,0.85401,0.87091,0.69248,0.73164,0.76535,0.76531,0.091,0.64782,0.37686,0.008317,0.008317,0.008317
19,10051.8,0.05876,0.85179,0.86947,0.70175,0.72966,0.76768,0.76764,0.09146,0.64484,0.37543,0.008218,0.008218,0.008218
20,10851.6,0.05775,0.85024,0.87134,0.7035,0.7331,0.76925,0.76919,0.08796,0.63988,0.37145,0.008119,0.008119,0.008119
21,11641.2,inf,0.85218,0.87098,0.69677,0.75075,0.77219,0.77218,0.08466,0.63703,0.36888,0.00802,0.00802,0.00802
22,12398,0.05687,0.84837,0.8707,0.69916,0.75331,0.77521,0.7752,0.0826,0.63039,0.3692,0.007921,0.007921,0.007921
23,13161.3,0.05732,0.84402,0.86938,0.70577,0.74719,0.77659,0.77658,0.08752,0.62836,0.37049,0.007822,0.007822,0.007822
24,13932.2,0.05666,0.83999,0.86921,0.70936,0.74639,0.77882,0.77879,0.08484,0.62434,0.36697,0.007723,0.007723,0.007723
25,14733,0.05531,0.83727,0.86871,0.71524,0.74166,0.78203,0.78201,0.08485,0.62019,0.36711,0.007624,0.007624,0.007624
26,15517.1,0.0557,0.83737,0.86967,0.72111,0.73768,0.78502,0.78501,0.08418,0.61607,0.36715,0.007525,0.007525,0.007525
27,16272.9,0.05567,0.83253,0.86894,0.71292,0.75217,0.7883,0.78828,0.0846,0.6155,0.36873,0.007426,0.007426,0.007426
28,17026.2,0.0553,0.82961,0.87015,0.71163,0.75572,0.79049,0.79048,0.0847,0.6112,0.36747,0.007327,0.007327,0.007327
29,17798.6,0.0552,0.83313,0.8689,0.72456,0.74352,0.79311,0.79309,0.08055,0.60707,0.36135,0.007228,0.007228,0.007228
30,18599.1,inf,0.82387,0.86989,0.72284,0.74698,0.79529,0.79528,0.07734,0.60055,0.35717,0.007129,0.007129,0.007129
31,19388.4,0.05387,0.82979,0.8688,0.72222,0.75582,0.7989,0.79888,0.07761,0.59818,0.35855,0.00703,0.00703,0.00703
32,20141.4,0.053,0.81464,0.86948,0.72535,0.75932,0.80226,0.80224,0.07443,0.59156,0.35435,0.006931,0.006931,0.006931
33,20892.3,0.05384,0.81972,0.86959,0.73128,0.75896,0.80549,0.80544,0.0699,0.58264,0.35077,0.006832,0.006832,0.006832
34,21647.1,0.0524,0.81297,0.86857,0.73642,0.75432,0.80788,0.80785,0.07309,0.58578,0.35361,0.006733,0.006733,0.006733
35,22431.3,0.0527,0.8139,0.87003,0.73034,0.76841,0.81064,0.81061,0.07449,0.58435,0.35572,0.006634,0.006634,0.006634
36,23234.5,0.0528,0.81027,0.86955,0.73424,0.76797,0.81443,0.8144,0.07602,0.58348,0.35729,0.006535,0.006535,0.006535
37,24006.5,0.05195,0.804,0.86863,0.74261,0.76663,0.81548,0.81543,0.07849,0.5826,0.35956,0.006436,0.006436,0.006436
38,24759.2,inf,0.80318,0.86812,0.75287,0.7627,0.81997,0.81991,0.07565,0.57495,0.35601,0.006337,0.006337,0.006337
39,25504.3,inf,0.8055,0.86939,0.75581,0.76582,0.82487,0.82484,0.07534,0.56753,0.35618,0.006238,0.006238,0.006238
40,26159.9,0.05098,0.80192,0.86749,0.75839,0.76695,0.82962,0.82955,0.07405,0.56474,0.35627,0.006139,0.006139,0.006139
41,26558.8,0.05119,0.79872,0.86897,0.753,0.77831,0.83188,0.83182,0.0724,0.55741,0.35391,0.00604,0.00604,0.00604
42,26955.6,0.05071,0.7937,0.86925,0.75515,0.78134,0.83531,0.83526,0.0707,0.5501,0.35206,0.005941,0.005941,0.005941
43,27353.8,0.04931,0.79106,0.86843,0.74897,0.7954,0.83912,0.83911,0.0678,0.54249,0.348,0.005842,0.005842,0.005842
44,27752.9,0.04949,0.79548,0.86837,0.77148,0.77612,0.84307,0.84304,0.07011,0.5418,0.35089,0.005743,0.005743,0.005743
45,28149.7,0.04946,0.78895,0.86902,0.75568,0.79694,0.84768,0.84767,0.07873,0.54598,0.3626,0.005644,0.005644,0.005644
46,28546.8,0.04848,0.78806,0.86935,0.76114,0.79735,0.85127,0.85127,0.09296,0.56121,0.38181,0.005545,0.005545,0.005545
47,28943.1,0.04951,0.78805,0.86858,0.76934,0.79182,0.85447,0.85444,0.10903,0.57234,0.40494,0.005446,0.005446,0.005446
48,29340.6,0.04837,0.77345,0.86782,0.77542,0.79042,0.85825,0.85822,0.1281,0.58098,0.43191,0.005347,0.005347,0.005347
49,29739.8,0.04762,0.77676,0.86748,0.77632,0.79345,0.86119,0.86116,0.13075,0.57985,0.43468,0.005248,0.005248,0.005248
50,30136.3,0.04793,0.77037,0.86768,0.79655,0.78362,0.86568,0.86565,0.13107,0.57694,0.43483,0.005149,0.005149,0.005149
51,30534.3,inf,0.77111,0.86847,0.79092,0.79455,0.86846,0.8684,0.13274,0.56901,0.43638,0.00505,0.00505,0.00505
52,30930.5,0.04666,0.76275,0.86782,0.78385,0.81054,0.87196,0.87189,0.12812,0.56106,0.43096,0.004951,0.004951,0.004951
53,31327.8,0.04643,0.75908,0.86845,0.79241,0.81014,0.87418,0.87412,0.12941,0.55862,0.43296,0.004852,0.004852,0.004852
54,31724.8,0.04597,0.76209,0.86828,0.80553,0.80852,0.87837,0.87829,0.13033,0.5522,0.43369,0.004753,0.004753,0.004753
55,32122.3,0.04436,0.75124,0.86681,0.8051,0.80581,0.876,0.87593,0.13128,0.55835,0.43327,0.004654,0.004654,0.004654
56,32519.7,0.04517,0.77276,0.86563,0.57889,0.73021,0.71958,0.71953,0.14702,0.94646,0.447,0.004555,0.004555,0.004555
57,32920.5,inf,0.90702,0.87242,0.20977,0.61079,0.21107,0.21105,0.60744,2.16391,0.88809,0.004456,0.004456,0.004456
58,33328.5,0.06958,0.9427,0.87486,0.66703,0.37321,0.19432,0.16323,0.9165,12.1001,1.51367,0.004357,0.004357,0.004357
59,33732.5,0.06494,0.92838,0.8725,0.40658,0.6,0.08941,0.03532,2.61978,22.8406,7.14266,0.004258,0.004258,0.004258
60,34139.8,inf,0.90087,0.87161,0.41147,0.2079,0.1302,0.04292,1.95259,26.37,7.42785,0.004159,0.004159,0.004159
61,34543.5,inf,1.1336,0.89869,0.40437,0.19933,0.05117,0.00624,3.90918,18.957,24.6061,0.00406,0.00406,0.00406
62,34946.4,0.1378,1.17239,0.89611,0.00196,0.74269,0.00413,0.00041,4.06829,10.5617,36.0484,0.003961,0.003961,0.003961
63,35344.3,0.12151,1.1571,0.89187,0,0,0,0,4.3043,8.29417,10.291,0.003862,0.003862,0.003862
64,35743.4,0.10941,1.15025,0.88659,0,0,0,0,6.72863,51.7326,25.5589,0.003763,0.003763,0.003763
65,36143.4,0.10022,1.14686,0.88309,0,0,0,0,6.7426,39.7672,24.839,0.003664,0.003664,0.003664
66,36541.7,0.09245,1.13382,0.88136,0,0,0,0,6.53437,16.7268,28.1704,0.003565,0.003565,0.003565
67,36938.8,0.09032,1.12968,0.88075,0,0,0,0,6.35445,8.77977,32.4027,0.003466,0.003466,0.003466
68,37339.8,0.08528,1.1226,0.87927,0,0,0,0,5.93498,7.57848,30.7966,0.003367,0.003367,0.003367
69,37736.3,0.08098,1.11628,0.87775,0,0,0,0,5.27961,7.22355,35.6833,0.003268,0.003268,0.003268
70,38134.1,0.07455,1.10947,0.87506,0,0,0,0,4.64228,5.07826,23.2345,0.003169,0.003169,0.003169
71,38536.9,0.07302,1.10205,0.87518,0.00015,0.0315,9e-05,1e-05,4.32201,4.21062,17.0045,0.00307,0.00307,0.00307
72,38942,0.06855,1.09678,0.87417,0.00133,0.59847,0.00567,0.00117,3.56863,4.7783,15.4091,0.002971,0.002971,0.002971
73,39347.7,0.06538,1.09391,0.87316,0.00055,0.21888,0.0006,6e-05,3.87553,5.17939,13.9928,0.002872,0.002872,0.002872
74,39750.8,inf,1.08346,0.87263,0,0,0,0,4.19701,5.61516,13.9948,0.002773,0.002773,0.002773
75,40149.7,0.06263,1.09012,0.8717,0,0,0,0,6.01862,10.4491,18.7187,0.002674,0.002674,0.002674
76,40553.5,0.07657,1.11128,0.87867,0,0,0,0,7.1131,56.7317,13.2591,0.002575,0.002575,0.002575
77,40957.4,0.09881,1.13306,0.88557,0,0,0,0,4.25758,3.7518,14.3509,0.002476,0.002476,0.002476
78,41360.3,0.09381,1.12159,0.88414,0.00357,0.8,0.00989,0.00258,3.40659,3.33134,13.5228,0.002377,0.002377,0.002377
79,41761.9,0.08425,1.10937,0.87837,0.00294,0.4,0.0099,0.00294,3.46351,3.39709,8.03278,0.002278,0.002278,0.002278
80,42162.8,0.07781,1.1091,0.87762,0.00107,0.19979,0.00376,0.00106,3.22351,3.46913,8.46879,0.002179,0.002179,0.002179
81,42558.9,0.07132,1.10636,0.87582,0.00122,0.19969,0.00275,0.0007,3.25234,3.6234,12.0862,0.00208,0.00208,0.00208
82,42960.2,inf,1.10021,0.87406,0.00093,0.15217,0.0009,9e-05,3.65686,3.97781,15.9469,0.001981,0.001981,0.001981
83,43358.3,0.06574,1.09918,0.87254,0.00104,0.15212,0.00097,0.0001,3.63596,4.07777,15.789,0.001882,0.001882,0.001882
84,43755,inf,1.09673,0.87271,0.00108,0.15217,0.00112,0.00011,3.62013,4.14777,16.6534,0.001783,0.001783,0.001783
85,44153.5,0.06338,1.09392,0.87298,0.00098,0.15217,0.00103,0.0001,3.60037,4.12924,16.6989,0.001684,0.001684,0.001684
86,44552.1,0.06173,1.0868,0.87148,0.00098,0.15217,0.00098,0.0001,3.58072,4.1086,16.3878,0.001585,0.001585,0.001585
87,44948.6,0.06053,1.09152,0.87205,0.0015,0.20202,0.00175,0.00019,3.56941,4.05021,16.2082,0.001486,0.001486,0.001486
88,45349.3,inf,1.08904,0.87092,0.00156,0.20542,0.0018,0.00028,3.56503,4.01912,15.4462,0.001387,0.001387,0.001387
89,45746.7,inf,1.09327,0.87026,0.002,0.21118,0.00206,0.00031,3.56351,4.02958,14.4198,0.001288,0.001288,0.001288
90,46146.6,inf,1.10632,0.87608,0.00214,0.21173,0.00225,0.00035,3.54429,4.02676,13.4323,0.001189,0.001189,0.001189
91,46556.2,0.06291,1.14788,0.85493,0.00413,0.99627,0.00691,0.00108,3.59356,20.9481,16.9698,0.00109,0.00109,0.00109
92,46962.2,0.05435,1.12692,0.85001,0.00407,0.99627,0.01843,0.00209,3.54382,31.219,18.1296,0.000991,0.000991,0.000991
93,47366.4,inf,1.12848,0.84875,0.00406,0.99627,0.03831,0.004,3.53587,34.0134,18.5107,0.000892,0.000892,0.000892
94,47769.1,0.07723,1.1472,0.86055,0.60276,0.39835,0.13401,0.01366,3.54065,34.6919,18.3095,0.000793,0.000793,0.000793
95,48170.6,0.0591,1.12352,0.84853,0.60275,0.39835,0.15552,0.01578,3.54394,34.5781,17.9763,0.000694,0.000694,0.000694
96,48572.6,inf,1.11163,0.84582,0.60278,0.39835,0.03356,0.00359,3.5535,34.0485,17.5722,0.000595,0.000595,0.000595
97,48974.5,0.04481,1.11083,0.84544,0.00423,0.98174,0.0239,0.00258,3.57401,33.3626,16.9833,0.000496,0.000496,0.000496
98,49375.7,0.0397,1.10555,0.84344,0.20416,0.77944,0.02625,0.00284,3.6145,32.0877,15.6393,0.000397,0.000397,0.000397
99,49777.1,0.03961,1.1063,0.84238,0.00419,0.99627,0.00699,0.00089,3.64221,29.4464,14.2255,0.000298,0.000298,0.000298
100,50179.6,0.05027,1.12242,0.84666,0.20416,0.62741,0.00723,0.00087,3.66797,26.1079,12.9359,0.000199,0.000199,0.000199
