epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,8755.35,0.05712,0.31931,0.06018,0.97878,0.97923,0.97789,0.9778,0.01051,0.10349,0.02315,0.005842,0.005842,0.005842
44,8955.51,0.05893,0.30646,0.06108,0.97742,0.97946,0.97081,0.97073,0.00922,0.10268,0.01933,0.005743,0.005743,0.005743
45,9155.07,0.05281,0.30007,0.05554,0.9769,0.97884,0.97462,0.97312,0.00672,0.10493,0.01426,0.005644,0.005644,0.005644
46,9355.17,0.05802,0.2965,0.05967,0.97654,0.97939,0.97164,0.97162,0.00667,0.1065,0.01528,0.005545,0.005545,0.005545
47,9554.61,0.06005,0.29559,0.0608,0.97975,0.97967,0.9714,0.97138,0.00908,0.11045,0.0235,0.005446,0.005446,0.005446
48,9753.85,0.05633,0.2916,0.0597,0.97904,0.98108,0.97503,0.97477,0.00767,0.10654,0.01872,0.005347,0.005347,0.005347
49,9953.14,0.05296,0.2817,0.05541,0.9793,0.98139,0.9762,0.97613,0.0081,0.10883,0.01909,0.005248,0.005248,0.005248
50,10152.9,0.05102,0.28319,0.05604,0.97872,0.98004,0.97533,0.97504,0.00665,0.10285,0.01502,0.005149,0.005149,0.005149
51,10352.3,0.04908,0.27848,0.05445,0.97995,0.98123,0.97651,0.97621,0.00735,0.10402,0.0185,0.00505,0.00505,0.00505
52,10551.1,0.05349,0.28146,0.05445,0.97797,0.97918,0.97392,0.97344,0.00954,0.11248,0.02109,0.004951,0.004951,0.004951
53,10750.7,0.05168,0.28347,0.05394,0.97722,0.97904,0.9741,0.97406,0.00698,0.10258,0.01667,0.004852,0.004852,0.004852
54,10950.4,0.04838,0.26874,0.05034,0.97589,0.97709,0.97092,0.97088,0.00623,0.10118,0.01409,0.004753,0.004753,0.004753
55,11149.4,0.04769,0.25532,0.04943,0.97599,0.97714,0.97088,0.97086,0.00573,0.10258,0.01382,0.004654,0.004654,0.004654
56,11349,0.04554,0.25996,0.04758,0.97749,0.97893,0.97308,0.97305,0.0054,0.10095,0.01375,0.004555,0.004555,0.004555
57,11548.1,0.04688,0.25085,0.04752,0.97814,0.97965,0.97338,0.97335,0.00822,0.10439,0.01746,0.004456,0.004456,0.004456
58,11748.9,0.04642,0.24933,0.04677,0.97816,0.97965,0.97256,0.97253,0.01214,0.1136,0.02232,0.004357,0.004357,0.004357
59,11948,0.03885,0.24462,0.04037,0.97765,0.97846,0.9713,0.97128,0.00886,0.10553,0.01797,0.004258,0.004258,0.004258
60,12148,0.04293,0.23438,0.044,0.97693,0.97904,0.97388,0.97386,0.00705,0.10168,0.01733,0.004159,0.004159,0.004159
61,12347.1,0.04277,0.24076,0.04465,0.97754,0.97862,0.97074,0.97071,0.00808,0.10829,0.01905,0.00406,0.00406,0.00406
