epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,92053.8,0.04722,0.51131,0.05759,0.98514,0.98425,0.98253,0.98218,0.00676,0.0888,0.01945,0.005842,0.005842,0.005842
44,94182.6,0.04028,0.49771,0.05035,0.98488,0.98493,0.98473,0.98435,0.00627,0.08503,0.01724,0.005743,0.005743,0.005743
45,96321.6,0.04008,0.48888,0.04842,0.98583,0.98525,0.98491,0.98448,0.00534,0.07937,0.01585,0.005644,0.005644,0.005644
46,98462.7,0.04115,0.48677,0.04938,0.98679,0.98739,0.98844,0.98793,0.00524,0.076,0.01519,0.005545,0.005545,0.005545
47,100599,0.03368,0.47542,0.0409,0.98818,0.98858,0.98855,0.98802,0.00541,0.07055,0.01532,0.005446,0.005446,0.005446
48,102739,0.04531,0.47735,0.05562,0.98973,0.98781,0.98863,0.98829,0.00516,0.06708,0.01511,0.005347,0.005347,0.005347
49,104877,0.03739,0.46881,0.04626,0.98948,0.98983,0.98874,0.9884,0.00539,0.06467,0.01535,0.005248,0.005248,0.005248
50,107015,0.04244,0.47228,0.04782,0.99017,0.99,0.98876,0.98841,0.00552,0.06189,0.01555,0.005149,0.005149,0.005149
51,109154,0.03296,0.45726,0.04013,0.99016,0.99039,0.98894,0.98874,0.0072,0.06398,0.01754,0.00505,0.00505,0.00505
52,111290,0.03191,0.45203,0.03793,0.99025,0.99053,0.9891,0.98882,0.00726,0.06228,0.01663,0.004951,0.004951,0.004951
53,113425,0.04283,0.45583,0.05052,0.99073,0.9905,0.98911,0.98891,0.00782,0.06335,0.01759,0.004852,0.004852,0.004852
54,115563,0.04069,0.44613,0.04943,0.99111,0.99082,0.98907,0.98889,0.00617,0.05845,0.01505,0.004753,0.004753,0.004753
55,117700,0.03777,0.43866,0.04568,0.99129,0.99137,0.98945,0.98918,0.00771,0.06096,0.01794,0.004654,0.004654,0.004654
56,119834,0.042,0.4371,0.04854,0.99201,0.99186,0.9907,0.99058,0.00861,0.06057,0.01863,0.004555,0.004555,0.004555
57,121970,0.03109,0.43063,0.03776,0.99195,0.99205,0.99068,0.99038,0.01041,0.06425,0.02167,0.004456,0.004456,0.004456
58,124097,0.03168,0.4249,0.03926,0.99209,0.99226,0.9907,0.99037,0.01009,0.06218,0.02075,0.004357,0.004357,0.004357
59,126232,0.02879,0.41639,0.03534,0.99245,0.99256,0.99077,0.99044,0.00973,0.05995,0.02012,0.004258,0.004258,0.004258
60,128368,0.04142,0.42467,0.04851,0.99227,0.99184,0.99083,0.9905,0.00773,0.05549,0.01763,0.004159,0.004159,0.004159
61,130502,0.03321,0.41406,0.04023,0.99264,0.99299,0.9908,0.99046,0.00427,0.0477,0.01303,0.00406,0.00406,0.00406
62,132639,0.03166,0.4048,0.03796,0.99382,0.9919,0.99074,0.99041,0.00519,0.04831,0.0142,0.003961,0.003961,0.003961
63,134774,0.04856,0.41646,0.05669,0.99335,0.99236,0.99077,0.99042,0.00486,0.0467,0.0135,0.003862,0.003862,0.003862
64,136907,0.03995,0.40024,0.0463,0.99368,0.99317,0.99091,0.99042,0.00708,0.05149,0.01607,0.003763,0.003763,0.003763
65,139037,0.02815,0.38847,0.035,0.99421,0.99373,0.99112,0.99062,0.00927,0.05435,0.01916,0.003664,0.003664,0.003664
66,141171,0.0265,0.39179,0.03305,0.99438,0.99347,0.99104,0.9906,0.00874,0.05243,0.01877,0.003565,0.003565,0.003565
67,143313,0.05136,0.40112,0.06224,0.99392,0.99267,0.99072,0.99041,0.00584,0.04819,0.01422,0.003466,0.003466,0.003466
68,145457,0.04434,0.39087,0.05384,0.9944,0.99155,0.99073,0.99044,0.00624,0.05035,0.01404,0.003367,0.003367,0.003367
69,147608,0.04118,0.38842,0.04893,0.99354,0.99276,0.99068,0.9904,0.00592,0.04934,0.01342,0.003268,0.003268,0.003268
70,149749,0.0286,0.36782,0.03526,0.99372,0.99264,0.99072,0.99044,0.00511,0.04709,0.01243,0.003169,0.003169,0.003169
71,151893,0.02614,0.35843,0.03353,0.99379,0.9934,0.99084,0.99054,0.00954,0.05673,0.01836,0.00307,0.00307,0.00307
72,154037,0.02476,0.3552,0.03147,0.99553,0.99182,0.99068,0.99042,0.00721,0.0496,0.01527,0.002971,0.002971,0.002971
73,156187,0.02493,0.34906,0.03038,0.99513,0.99311,0.99073,0.99046,0.00564,0.04478,0.0135,0.002872,0.002872,0.002872
74,158460,0.01993,0.34085,0.02539,0.99486,0.99374,0.99083,0.99055,0.00343,0.03962,0.01096,0.002773,0.002773,0.002773
75,160612,0.02261,0.33336,0.02748,0.99455,0.99438,0.99075,0.99047,0.00352,0.03908,0.01082,0.002674,0.002674,0.002674
76,162751,0.02717,0.33686,0.03315,0.99485,0.99415,0.99082,0.99076,0.00396,0.0405,0.01093,0.002575,0.002575,0.002575
77,164891,0.03318,0.34027,0.04116,0.99478,0.99423,0.99078,0.99051,0.00352,0.0371,0.00983,0.002476,0.002476,0.002476
78,167030,0.0567,0.35483,0.06689,0.99468,0.99458,0.99078,0.9905,0.0044,0.03951,0.0112,0.002377,0.002377,0.002377
79,169174,0.03877,0.33265,0.04639,0.99514,0.99439,0.99078,0.99046,0.00709,0.0447,0.01492,0.002278,0.002278,0.002278
80,171322,0.03143,0.32646,0.03926,0.99604,0.99349,0.99074,0.99043,0.00628,0.044,0.01372,0.002179,0.002179,0.002179
81,173467,0.01802,0.30319,0.02279,0.99488,0.9944,0.99265,0.99218,0.00608,0.04266,0.01407,0.00208,0.00208,0.00208
82,175607,0.01585,0.2933,0.02019,0.99524,0.99471,0.99259,0.99212,0.00671,0.04261,0.01568,0.001981,0.001981,0.001981
83,177807,0.01627,0.28873,0.02109,0.99526,0.99485,0.99258,0.99209,0.00648,0.04023,0.01557,0.001882,0.001882,0.001882
84,179949,0.01649,0.28421,0.02112,0.99556,0.99523,0.99263,0.99215,0.00547,0.03613,0.01444,0.001783,0.001783,0.001783
85,182117,0.01245,0.27147,0.01633,0.99683,0.99449,0.99265,0.99235,0.00476,0.03338,0.01317,0.001684,0.001684,0.001684
86,184267,0.01308,0.26806,0.01477,0.99613,0.99581,0.99262,0.9923,0.00514,0.03244,0.01384,0.001585,0.001585,0.001585
87,186418,0.0205,0.26915,0.02465,0.997,0.99573,0.99282,0.99273,0.00597,0.03444,0.01445,0.001486,0.001486,0.001486
88,188577,0.0123,0.25394,0.0154,0.99744,0.99606,0.99285,0.99271,0.00469,0.03097,0.01204,0.001387,0.001387,0.001387
89,190712,0.0123,0.24992,0.01569,0.99719,0.99698,0.99286,0.99273,0.00429,0.0293,0.01126,0.001288,0.001288,0.001288
90,192855,0.00946,0.23667,0.01179,0.9967,0.99705,0.99284,0.99272,0.00352,0.02628,0.01007,0.001189,0.001189,0.001189
91,195001,0.00616,0.06187,0.01175,0.99705,0.99756,0.99328,0.99286,0.00272,0.02169,0.00801,0.00109,0.00109,0.00109
92,197144,0.01129,0.06713,0.02019,0.99739,0.99773,0.99481,0.99481,0.00199,0.01996,0.00601,0.000991,0.000991,0.000991
93,199285,0.01209,0.06419,0.02063,0.99742,0.99788,0.99489,0.99489,0.00175,0.01977,0.00439,0.000892,0.000892,0.000892
94,201428,0.01151,0.05779,0.01826,0.99744,0.99793,0.99477,0.99477,0.00606,0.03229,0.00891,0.000793,0.000793,0.000793
95,203573,0.01187,0.05469,0.02082,0.9977,0.99828,0.99492,0.99492,0.00338,0.02453,0.00562,0.000694,0.000694,0.000694
96,205714,0.0099,0.04645,0.01787,0.9976,0.99828,0.99485,0.99484,0.00269,0.02289,0.00533,0.000595,0.000595,0.000595
97,207855,0.00835,0.03751,0.01539,0.99735,0.99799,0.99487,0.99487,0.0026,0.02169,0.0049,0.000496,0.000496,0.000496
98,210018,0.00638,0.02903,0.01168,0.99791,0.99734,0.99467,0.99467,0.00233,0.02072,0.00459,0.000397,0.000397,0.000397
99,212162,0.00546,0.0243,0.01041,0.99741,0.99821,0.99489,0.99489,0.00143,0.01829,0.00351,0.000298,0.000298,0.000298
100,214304,0.00465,0.02071,0.00906,0.99793,0.99719,0.99485,0.99485,0.00112,0.01681,0.00282,0.000199,0.000199,0.000199
