epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,67376.2,0.03163,0.36701,0.03662,0.89002,0.96167,0.96855,0.96852,0.01723,0.41861,0.05154,0.005842,0.005842,0.005842
44,69150.7,0.03112,0.36004,0.03771,0.97406,0.98286,0.98139,0.98136,0.01688,0.12214,0.05195,0.005743,0.005743,0.005743
45,70926.9,0.03822,0.36048,0.04275,0.98036,0.98389,0.98227,0.98205,0.01791,0.10898,0.05429,0.005644,0.005644,0.005644
46,72692.4,0.0298,0.34833,0.03316,0.73512,0.94936,0.94944,0.94922,0.02672,1.11997,0.07388,0.005545,0.005545,0.005545
47,74473.4,0.03354,0.35068,0.03859,0.97406,0.98196,0.98368,0.98325,0.02472,0.13501,0.07014,0.005446,0.005446,0.005446
48,76250.8,0.03394,0.34646,0.03708,0.84717,0.95648,0.96269,0.96246,0.02681,0.69416,0.07445,0.005347,0.005347,0.005347
49,78032.9,0.03123,0.34182,0.03635,0.88796,0.95944,0.97608,0.97603,0.02521,0.44306,0.06961,0.005248,0.005248,0.005248
50,79749.7,0.02964,0.33565,0.03601,0.98467,0.98705,0.98427,0.98423,0.02233,0.11339,0.06222,0.005149,0.005149,0.005149
51,81542.2,0.02622,0.33125,0.03102,0.99075,0.98826,0.98447,0.98423,0.02135,0.10152,0.06102,0.00505,0.00505,0.00505
52,83305.8,0.0324,0.33493,0.0386,0.98911,0.98841,0.9845,0.98412,0.02049,0.10164,0.0603,0.004951,0.004951,0.004951
53,85076,0.02765,0.3209,0.03326,0.97861,0.9883,0.98635,0.98515,0.02046,0.11099,0.06265,0.004852,0.004852,0.004852
54,86845.3,0.02551,0.31681,0.02876,0.94046,0.96837,0.98478,0.98261,0.02284,0.25658,0.06942,0.004753,0.004753,0.004753
